step,stable_train_l2,fast_train_l2,stable_val_l2,fast_val_l2,stable_total_sec,fast_total_sec,stable_lr,fast_lr,abs_diff_train_l2,abs_diff_val_l2
390,-0.09052322976875869,-0.09052322976859992,-0.059769710479916846,-0.05976971048171356,157.54951378307305,150.98633924592286,0.0008041979948389248,0.0008041979948389248,1.587757703092052e-13,1.7967155541143143e-12
395,-0.09090678613168174,-0.09090678613194121,-0.05950778501953824,-0.05950778501772115,159.595219144132,152.8479516869411,0.000783703541632138,0.000783703541632138,2.594729986427069e-13,1.8170881466161859e-12
400,-0.09120632539156451,-0.09120632539173837,-0.05934654935429565,-0.059346549353129996,161.60535009996966,154.7105403819587,0.0007625,0.0007625,1.7386092565629951e-13,1.1656509091295675e-12
405,-0.09135709251059412,-0.0913570925105795,-0.059520467850908615,-0.059520467852350406,163.60079646413215,156.7458360879682,0.0007406454873762847,0.0007406454873762847,1.4627188349436437e-14,1.4417911309294595e-12
410,-0.09152020658647897,-0.09152020658655736,-0.05922560053190207,-0.05922560053252744,165.53306875913404,158.7685769048985,0.0007181999054610052,0.0007181999054610052,7.839562332634387e-14,6.253747519835429e-13
415,-0.09136875198381927,-0.0913687519838878,-0.058518877645508394,-0.058518877644077955,167.5099124291446,160.75445984397084,0.0006952247760340176,0.0006952247760340176,6.852851619498779e-14,1.4304391005026673e-12
420,-0.09161179902831335,-0.09161179902823847,-0.057989962234290454,-0.05798996223244511,169.53032662603073,162.7296137548983,0.0006717830723281,0.0006717830723281,7.4870665223159e-14,1.845343322592896e-12
425,-0.09233862586173565,-0.09233862586185243,-0.05788848135528134,-0.05788848135545038,171.4777172470931,164.6920681039337,0.0006479390464236974,0.0006479390464236974,1.1678158440275865e-13,1.690453332869879e-13
430,-0.09322662559877407,-0.09322662559885353,-0.05802170333793652,-0.058021703337912206,173.45607182197273,166.5827490980737,0.0006237580531384357,0.0006237580531384357,7.946421298754558e-14,2.4313884239290928e-14
435,-0.09363866518463729,-0.09363866518469753,-0.058481948293495845,-0.05848194829360483,175.348832444055,168.5444773971103,0.0005993063708941098,0.0005993063708941098,6.024347687372256e-14,1.0898226765476693e-13
440,-0.09388016961147924,-0.09388016961153481,-0.058776600587590905,-0.058776600587346434,177.31391758215614,170.4338623629883,0.0005746510200521354,0.0005746510200521354,5.5566662382489085e-14,2.4447111002245947e-13
445,-0.09412860968417994,-0.09412860968421154,-0.058843509926611665,-0.058843509926533324,179.19775280100293,172.3225251249969,0.0005498595792153984,0.0005498595792153984,3.159972283839352e-14,7.834011217511261e-14
450,-0.09447596308018918,-0.09447596308022954,-0.058681778014307906,-0.05868177801413496,181.1015328289941,174.2977964170277,0.000525,0.000525,4.035660694512444e-14,1.7294499166098376e-13
455,-0.0948773564535462,-0.09487735645358125,-0.058682875703484155,-0.05868287570340863,183.11535038310103,176.19512524898164,0.0005001404207846017,0.0005001404207846017,3.505529200253932e-14,7.552292125012627e-14
460,-0.09521609935363112,-0.0952160993536659,-0.058668921042068056,-0.05866892104198826,185.00135364406742,178.16873896494508,0.0004753489799478647,0.0004753489799478647,3.477773624638303e-14,7.979727989493313e-14
465,-0.095539720541903,-0.09553972054193478,-0.058438709980210404,-0.058438709980129,186.88051359099336,180.14719052496366,0.00045069362910589027,0.00045069362910589027,3.1780134079895106e-14,8.14071032806396e-14
470,-0.09578357672289123,-0.09578357672291989,-0.05831565727126595,-0.05831565727122322,188.8464248161763,182.12454336788505,0.0004262419468615644,0.0004262419468615644,2.8657631823136853e-14,4.272970866026071e-14
475,-0.09604758979903692,-0.09604758979906239,-0.05831625105029238,-0.05831625105022467,190.6989717159886,184.08398364391178,0.0004020609535763026,0.0004020609535763026,2.5465740627339528e-14,6.770972671432673e-14
480,-0.09621510316198684,-0.09621510316201079,-0.05818478320268189,-0.058184783202578166,192.65270335809328,185.9828730910085,0.00037821692767190003,0.00037821692767190003,2.3953061756287752e-14,1.0372258607560525e-13
485,-0.09638148929878952,-0.0963814892988125,-0.05810070752884482,-0.058100707528742176,194.585534716025,187.915821214905,0.0003547752239659824,0.0003547752239659824,2.298161660974074e-14,1.0264011862659572e-13
490,-0.0966564323010225,-0.09665643230104785,-0.05804283623351866,-0.05804283623338875,196.58200229005888,189.8917828348931,0.000331800094538995,0.000331800094538995,2.5354718324877012e-14,1.2990997166895113e-13
495,-0.0968650013896154,-0.09686500138964176,-0.05806299070226795,-0.058062990702146974,198.54599606408738,191.77118987007998,0.0003093545126237153,0.0003093545126237153,2.6353919047039653e-14,1.2097267632071862e-13
500,-0.09704599021728108,-0.09704599021730292,-0.058152967572039554,-0.05815296757198346,200.47752450197004,193.65749798202887,0.0002875000000000001,0.0002875000000000001,2.1843638009499955e-14,5.6094018319186034e-14
505,-0.09719367937723103,-0.0971936793772518,-0.058174878272786806,-0.05817487827272476,202.53761355415918,195.5597894920502,0.0002662964583678621,0.0002662964583678621,2.0775048348298242e-14,6.204758928873844e-14
510,-0.09733069257319885,-0.0973306925732198,-0.05818168574599425,-0.05818168574591623,204.44326592911966,197.5277397800237,0.00024580200516107533,0.00024580200516107533,2.095545958979983e-14,7.802092305553288e-14
515,-0.09748840213745352,-0.09748840213747272,-0.05822330640237397,-0.058223306402304845,206.45744285010733,199.47037231200375,0.0002260728142513273,0.0002260728142513273,1.9192980538207394e-14,6.912526107072381e-14
520,-0.09761077764922133,-0.09761077764924181,-0.05829685916470115,-0.05829685916462296,208.4214434060268,201.3814708068967,0.00020716296197954249,0.00020716296197954249,2.0483614804334138e-14,7.818745650922665e-14
525,-0.09775729507685721,-0.09775729507687665,-0.05827255849206725,-0.05827255849198902,210.33445484004915,203.36271799798124,0.00018912427893638995,0.00018912427893638995,1.9442780718748054e-14,7.822908987265009e-14
530,-0.09791398968884188,-0.09791398968885727,-0.05825403764031584,-0.05825403764025454,212.46421341202222,205.26339799608104,0.00017200620789823768,0.00017200620789823768,1.5390466678866233e-14,6.129818874711646e-14
